type,name,latitude,longitude
NHS Hospital,Newbridges - Inpatient Unit,53.74993896,-0.308325261
NHS Hospital,Maister Lodge - Inpatient Unit,53.77357864,-0.286600292
NHS Hospital,Hawthorne Court - Inpatient Unit,53.84576416,-0.434097558
NHS Hospital,Avondale Assessment Unit and Psychiatric Intensive Care Unit,53.74435806,-0.362185776
NHS Hospital,Southmead Hospital,51.49481201,-2.591000319
NHS Hospital,Frenchay Hospital,51.4966011,-2.528403997
NHS Hospital,Cossham Hospital,51.46889114,-2.516105652
NHS Hospital,St Martins Hospital (Bath),51.35817337,-2.372606993
NHS Hospital,Blackberry Hill Hospital,51.48315048,-2.538818598
NHS Hospital,Wiltshire IAPT,51.33915329,-1.981288552
NHS Hospital,Callington Road Hospital,51.4312706,-2.557540894
NHS Hospital,St Helier Hospital,51.38031387,-0.183627352
NHS Hospital,Sutton Hospital,51.34545517,-0.191079825
NHS Hospital,Queen Mary's Hospital For Children,51.38031387,-0.183627352
NHS Hospital,Epsom Hospital,51.32551956,-0.273216724
NHS Hospital,William Harvey Hospital (Ashford),51.14148712,0.916223049
NHS Hospital,Buckland Hospital,51.13205338,1.292394757
NHS Hospital,Queen Elizabeth The Queen Mother Hospital,51.37805176,1.389398694
NHS Hospital,Kent and Canterbury Hospital,51.2665863,1.087097526
NHS Hospital,University Hospital Of Hartlepool,54.70240021,-1.227821112
NHS Hospital,University Hospital Of North Tees,54.58285904,-1.347565413
NHS Hospital,Southport and Formby District General Hospital,53.63356018,-2.978807688
NHS Hospital,Ormskirk and District General Hospital,53.56462097,-2.871237278
NHS Hospital,Moorgreen Hospital,50.9286499,-1.32337296
NHS Hospital,Fareham Community Hospital,50.87100983,-1.275508523
NHS Hospital,Ashworth Hospital,53.51867294,-2.915359974
NHS Hospital,Ribbleton Hospital,53.77164841,-2.657579422
NHS Hospital,Queen Victoria Hospital,54.07287216,-2.858618259
NHS Hospital,Fairfield General Hospital,53.60042572,-2.255607843
NHS Hospital,North Manchester General Hospital,53.51788712,-2.229486942
NHS Hospital,Royal Oldham Hospital,53.55325317,-2.121816158
NHS Hospital,Rochdale Infirmary,53.62428665,-2.160136938
NHS Hospital,Birch Hill Hospital (Floyd Unit),53.64026642,-2.121371508
NHS Hospital,Hull Royal Infirmary,53.74443436,-0.358168989
NHS Hospital,Castle Hill Hospital,53.7767334,-0.444969475
NHS Hospital,Lincoln County Hospital,53.23357773,-0.51962018
NHS Hospital,Pilgrim Hospital,52.99112701,-0.009952853
NHS Hospital,St Mary's Hospital,52.76593781,-0.877281189
NHS Hospital,Leicester Royal Infirmary,52.62678528,-1.135946155
NHS Hospital,Glenfield Hospital,52.65436554,-1.180003047
NHS Hospital,Leicester General Hospital,52.62992859,-1.081749201
NHS Hospital,Maidstone Hospital,51.27366257,0.483988225
NHS Hospital,Stone House Hospital,51.44478607,0.245343298
NHS Hospital,Tunbridge Wells Hospital at Pembury,51.14845276,0.307484597
NHS Hospital,Watford General Hospital,51.64859009,-0.405277938
NHS Hospital,St Albans City Hospital,51.76007462,-0.343948692
NHS Hospital,Hemel Hempstead Hospital,51.75083923,-0.468585968
NHS Hospital,Lister Hospital,51.92461014,-0.212711543
NHS Hospital,New QEII Hospital,51.78282928,-0.187686712
NHS Hospital,Hertford County Hospital,51.79648972,-0.088494822
NHS Hospital,Stepping Hill Hospital,53.38378143,-2.132004976
NHS Hospital,The Tower Hamlets Centre For Mental Health,51.5250473,-0.04219196
NHS Hospital,Alexandra Hospital,52.27977753,-1.912112117
NHS Hospital,Kidderminster Hospital & Treatment Centre,52.38604736,-2.261150599
NHS Hospital,Worcestershire Royal Hospital,52.19151688,-2.179341078
NHS Hospital,Wonford House,50.7154007,-3.506284475
NHS Hospital,Franklyn Community Hospital,50.7124176,-3.549404383
NHS Hospital,Halton General Hospital,53.32327271,-2.694666147
NHS Hospital,Warrington Hospital,53.39397812,-2.610702753
NHS Hospital,Prospect Park Hospital,51.44914627,-1.014733672
